,pl_name,hostname,pl_bmasse,pl_orbper,pl_orbsmax,st_mass
0,K2-229 b,K2-229,2.59,0.584249,0.012888,0.837
1,HD 80653 b,HD 80653,5.72,0.719573,0.01661,1.18
2,HD 80653 b,HD 80653,5.6,0.719573,0.0166,1.18
3,55 Cnc e,55 Cnc,8.08,0.736539,0.01544,0.9
4,55 Cnc e,55 Cnc,8.63,0.73654,0.01583,0.963
5,55 Cnc e,55 Cnc,7.81,0.7365437,0.01544,0.905
6,55 Cnc e,55 Cnc,9.37593801,0.7365445,0.01583,0.974708
7,55 Cnc e,55 Cnc,8.37,0.736546,0.01583,0.9
8,55 Cnc e,55 Cnc,7.99,0.7365474,0.01544,0.905
9,55 Cnc e,55 Cnc,8.09479,0.7365478,0.015439,0.9
10,55 Cnc e,55 Cnc,8.13928,0.7365515,0.015690907,0.95
11,CoRoT-7 b,CoRoT-7,4.8,0.853585,0.017,0.899
12,CoRoT-7 b,CoRoT-7,6.99226,0.853585,0.0169,0.884
13,CoRoT-7 b,CoRoT-7,21,0.853585,0.0172,0.93
14,CoRoT-7 b,CoRoT-7,5.74,0.85359159,0.017016,0.913
15,CoRoT-7 b,CoRoT-7,4.73,0.85359165,0.017,0.899
16,EPIC 201595106 b,EPIC 201595106,7.67,0.87724,0.0177,0.958
17,HAT-P-23 b,HAT-P-23,626.1251,1.21288287,0.0232,1.13
18,HAT-P-23 b,HAT-P-23,658,1.21288287,0.02302,1.104
19,HAT-P-23 b,HAT-P-23,664.237,1.212884,0.0232,1.13
20,HAT-P-36 b,HAT-P-36,611.82275,1.3273466,0.02402,1.049
21,HAT-P-36 b,HAT-P-36,588.62116,1.32734683,0.02388,1.03
22,HAT-P-36 b,HAT-P-36,587.413406,1.32734683,0.0241,1.03
23,HAT-P-36 b,HAT-P-36,587.9855,1.327347,0.02382,1.022
24,HAT-P-36 b,HAT-P-36,582.24,1.327347,0.0238,1.022
25,CoRoT-1 b,CoRoT-1,359.1479,1.5089557,0.0261,1.03
26,CoRoT-1 b,CoRoT-1,390.9309,1.5089682,0.02752,1.22
27,CoRoT-1 b,CoRoT-1,327.3649,1.5089686,0.02536,0.95
28,CoRoT-14 b,CoRoT-14,2415.4,1.51214,0.027,1.13
29,CoRoT-14 b,CoRoT-14,2358.2986,1.51214,0.02691,1.13
30,CoRoT-14 b,CoRoT-14,2437.7561,1.51214,0.02687,1.125
31,GJ 1214 b,GJ 1214,8.17,1.58040433,0.0149,0.178
32,GJ 1214 b,GJ 1214,8.41,1.580404531,0.01505,0.182
33,GJ 1214 b,GJ 1214,6.261251,1.58040456,0.01411,0.15
34,Kepler-9 d,Kepler-9,8.41466053,1.59295975,0.0269056221,1.024
35,CoRoT-2 b,CoRoT-2,1134.6531,1.7429935,0.02835,0.997
36,CoRoT-2 b,CoRoT-2,1102.82,1.7429935,0.02798,0.96
37,CoRoT-2 b,CoRoT-2,1150.5446,1.7429935,0.02854,1.018
38,CoRoT-2 b,CoRoT-2,1048.839,1.74299673,0.0281,0.97
39,CoRoT-18 b,CoRoT-18,1099.6918,1.9000693,0.0295,0.95
40,CoRoT-18 b,CoRoT-18,1039.3041,1.9000693,0.0286,0.861
41,CoRoT-18 b,CoRoT-18,1102.82,1.9000693,0.0295,0.95
42,CoRoT-18 b,CoRoT-18,1048.839,1.90009,0.0288,0.88
43,GJ 876 d,GJ 876,7.53,1.93774,0.0208067,0.336778
44,GJ 876 d,GJ 876,6.83,1.93778,0.02080665,0.32
45,GJ 876 d,GJ 876,7.49,1.937848,0.02183911,0.37
46,GJ 876 d,GJ 876,7.4,1.93785,0.021,0.334
47,GJ 876 d,GJ 876,5.84804269,1.937916,0.02183,0.369607
48,GJ 876 d,GJ 876,8.06143677,1.938,0.021,0.336778
49,HAT-P-32 b,HAT-P-32,273.322,2.150008,0.0343,1.16
50,HAT-P-32 b,HAT-P-32,216.1244,2.1500082,0.03397,1.132
51,HAT-P-32 b,HAT-P-32,238.3725,2.15000825,0.03427,1.16
52,K2-216 b,K2-216,8,2.1748,0.028,0.7
53,GJ 436 b,GJ 436,23.1688,2.64385,0.02872,0.452
54,GJ 436 b,GJ 436,22.6603,2.64385,0.0285,0.44
55,GJ 436 b,GJ 436,21.6751,2.643859,0.0278,0.419868
56,GJ 436 b,GJ 436,22.1,2.64388312,0.0291,0.47
57,GJ 436 b,GJ 436,21.23093759,2.643892,0.02849,0.441167
58,GJ 436 b,GJ 436,23.424071,2.64389524,0.02887,0.459
59,GJ 436 b,GJ 436,25.4,2.64389803,0.0308,0.556
60,GJ 436 b,GJ 436,21.3891,2.643943,0.0278,0.419868
61,GJ 436 b,GJ 436,21.36,2.644,0.028,0.419868
62,GJ 436 b,GJ 436,21.294,2.6441,0.0278,0.41
63,GJ 3634 b,GJ 3634,8.4,2.64561,0.0287,0.45
64,HAT-P-16 b,HAT-P-16,1332.605,2.77596,0.0413,1.218
